Marine,,,,,Cami,,,
window size,Time(s),Accuracy(%),kmer,,window size,Time(s),Accuracy(%),kmer
8,5.98,97.578,14,,8,14.74,93.731,14
9,5.79,97.597,14,,9,13.11,93.715,14
10,5.3,97.617,14,,10,12.31,93.746,14
11,4.79,97.614,14,,11,11.68,93.708,14
12,5.12,97.621,14,,12,11.18,93.676,14
13,4.93,97.617,14,,13,11.36,93.671,14
14,4.73,97.607,14,,14,11.19,93.687,14
8,5.88,97.589,15,,8,13.42,93.747,15
9,5.42,97.574,15,,9,13.19,93.692,15
10,5.37,97.565,15,,10,13.03,93.684,15
11,4.81,97.547,15,,11,12.35,93.686,15
12,4.92,97.542,15,,12,12.36,93.717,15
13,4.57,97.545,15,,13,12.04,93.706,15
14,4.91,97.545,15,,14,11.49,93.704,15
8,5.94,97.653,16,,8,15.32,93.699,16
9,5.74,97.635,16,,9,12.64,93.643,16
10,5.01,97.605,16,,10,12.55,93.652,16
11,4.77,97.59,16,,11,11.7,93.637,16
12,4.64,97.618,16,,12,11.87,93.676,16
13,4.44,97.598,16,,13,11.8,93.699,16
14,4.45,97.572,16,,14,12.11,93.663,16
8,5.54,97.554,17,,8,13.38,93.699,17
9,5.99,97.595,17,,9,13.13,93.701,17
10,5.26,97.585,17,,10,12.42,93.683,17
11,4.91,97.577,17,,11,11.62,93.672,17
12,4.78,97.583,17,,12,11.26,93.693,17
13,4.75,97.604,17,,13,11.37,93.673,17
14,4.48,97.592,17,,14,11.05,93.742,17
8,6.04,97.547,18,,8,13.65,93.845,18
9,5.71,97.54,18,,9,14.15,93.861,18
10,5.27,97.575,18,,10,12.26,93.838,18
11,5.06,97.568,18,,11,11.76,93.718,18
12,4.95,97.567,18,,12,11.03,93.667,18
13,4.8,97.535,18,,13,10.76,93.647,18
14,4.57,97.528,18,,14,10.56,93.647,18
8,5.95,97.553,19,,8,13.28,93.655,19
9,5.68,97.518,19,,9,12.62,93.649,19
10,4.84,97.556,19,,10,12.44,93.661,19
11,4.99,97.527,19,,11,11.76,93.673,19
12,4.87,97.508,19,,12,11.61,93.636,19
13,4.55,97.528,19,,13,11.19,93.652,19
14,4.78,97.514,19,,14,11.24,93.627,19
8,6.2,97.588,20,,8,13.05,93.814,20
9,5.7,97.592,20,,9,12.27,93.789,20
10,5.25,97.607,20,,10,12.49,93.769,20
11,4.73,97.6,20,,11,11.82,93.708,20
12,4.64,97.617,20,,12,11.79,93.659,20
13,4.49,97.596,20,,13,11.55,93.626,20
14,4.67,97.573,20,,14,11.43,93.637,20
