Shape,Time(s),Recall,Precision,window size,kmer
1,11.91,0.37,0.92,4,19
1,21.54,0.44,0.89,4,18
1,28.37,0.48,0.88,4,17
1,35.45,0.5,0.87,4,16
1,41.1,0.52,0.86,4,15
1,46.45,0.53,0.85,4,14
1,51.8,0.54,0.85,4,13
1,55.91,0.54,0.84,4,12
1,59.45,0.55,0.84,4,11
1,64,0.552,0.83,4,10
2,8.54,0.33,0.93,4,19
2,15.34,0.41,0.91,4,18
2,20.51,0.45,0.9,4,17
2,25.62,0.48,0.89,4,16
2,30.24,0.49,0.88,4,15
2,34.33,0.5,0.87,4,14
2,38.18,0.51,0.87,4,13
2,41.94,0.52,0.86,4,12
2,44.85,0.531,0.86,4,11
2,48.78,0.532,0.85,4,10
3,5.37,0.28,0.94,4,19
3,9.5,0.36,0.93,4,18
3,12.74,0.4,0.92,4,17
3,16.11,0.43,0.91,4,16
3,19.07,0.45,0.9,4,15
3,21.84,0.46,0.9,4,14
3,24.51,0.47,0.89,4,13
3,27.23,0.48,0.89,4,12
3,29.57,0.49,0.88,4,11
3,32.26,0.5,0.88,4,10
4,3.43,0.23,0.96,4,19
4,5.78,0.3,0.95,4,18
4,7.57,0.34,0.94,4,17
4,9.66,0.37,0.93,4,16
4,11.33,0.39,0.93,4,15
4,13.06,0.41,0.92,4,14
4,14.84,0.42,0.92,4,13
4,16.42,0.43,0.91,4,12
4,17.96,0.44,0.91,4,11
4,19.68,0.45,0.91,4,10
1,6.54,0.36,0.93,5,19
1,11.36,0.42,0.92,5,18
1,14.63,0.44,0.91,5,17
1,17.17,0.46,0.9,5,16
1,20.11,0.47,0.9,5,15
1,22.68,0.49,0.89,5,14
1,24.86,0.49,0.89,5,13
1,27.56,0.5,0.88,5,12
1,29.75,0.51,0.88,5,11
1,31.8,0.51,0.87,5,10
2,6.54,0.36,0.93,5,19
2,11.3,0.42,0.92,5,18
2,14.54,0.44,0.91,5,17
2,16.96,0.46,0.9,5,16
2,19.94,0.47,0.89,5,15
2,22.42,0.49,0.89,5,14
2,24.56,0.49,0.89,5,13
2,27.46,0.5,0.88,5,12
2,29.88,0.51,0.87,5,11
2,31.54,0.51,0.87,5,10
3,6.31,0.35,0.93,5,19
3,10.84,0.41,0.92,5,18
3,14,0.44,0.91,5,17
3,16.73,0.46,0.9,5,16
3,19.66,0.47,0.9,5,15
3,22.17,0.48,0.89,5,14
3,24.22,0.49,0.89,5,13
3,27.15,0.5,0.88,5,12
3,29.5,0.51,0.88,5,11
3,31.13,0.514,0.87,5,10
4,5.65,0.34,0.94,5,19
4,9.77,0.4,0.93,5,18
4,12.67,0.43,0.92,5,17
4,14.96,0.45,0.91,5,16
4,17.63,0.46,0.91,5,15
4,19.99,0.47,0.9,5,14
4,22.07,0.48,0.9,5,13
4,24.65,0.49,0.89,5,12
4,26.62,0.5,0.89,5,11
4,28.18,0.504,0.88,5,10
1,2.93,0.28,0.95,6,19
1,3.11,0.29,0.95,6,18
1,3.19,0.29,0.95,6,17
1,3.34,0.29,0.95,6,16
1,3.45,0.3,0.95,6,15
1,3.62,0.3,0.95,6,14
1,3.82,0.31,0.95,6,13
1,3.99,0.32,0.95,6,12
1,4.13,0.32,0.95,6,11
1,4.27,0.32,0.95,6,10
2,2.92,0.28,0.95,6,19
2,3.03,0.29,0.95,6,18
2,3.19,0.29,0.95,6,17
2,3.31,0.29,0.95,6,16
2,3.45,0.3,0.95,6,15
2,3.63,0.3,0.95,6,14
2,3.82,0.31,0.95,6,13
2,3.91,0.32,0.95,6,12
2,4.04,0.32,0.95,6,11
2,4.33,0.32,0.95,6,10
3,2.92,0.28,0.95,6,19
3,3.1,0.29,0.95,6,18
3,3.17,0.29,0.95,6,17
3,3.26,0.29,0.95,6,16
3,3.42,0.3,0.95,6,15
3,3.55,0.3,0.95,6,14
3,3.71,0.31,0.95,6,13
3,3.99,0.32,0.95,6,12
3,4.16,0.32,0.95,6,11
3,4.28,0.32,0.95,6,10
4,2.9,0.28,0.95,6,19
4,3.07,0.29,0.95,6,18
4,3.19,0.29,0.95,6,17
4,3.32,0.29,0.95,6,16
4,3.45,0.3,0.95,6,15
4,3.6,0.3,0.95,6,14
4,3.82,0.31,0.95,6,13
4,3.94,0.32,0.95,6,12
4,4.11,0.32,0.95,6,11
4,4.31,0.32,0.95,6,10
1,1.68,0.23,0.96,7,19
1,2.01,0.26,0.96,7,18
1,2.49,0.29,0.96,7,17
1,2.94,0.3,0.96,7,16
1,3.42,0.32,0.95,7,15
1,3.86,0.33,0.95,7,14
1,4.2,0.34,0.95,7,13
1,4.56,0.34,0.95,7,12
1,4.94,0.35,0.95,7,11
1,5.36,0.36,0.95,7,10
2,1.59,0.23,0.96,7,19
2,2.07,0.26,0.96,7,18
2,2.51,0.29,0.96,7,17
2,2.97,0.3,0.96,7,16
2,3.43,0.32,0.95,7,15
2,3.86,0.33,0.95,7,14
2,4.21,0.34,0.95,7,13
2,4.55,0.34,0.95,7,12
2,4.98,0.35,0.95,7,11
2,5.35,0.36,0.95,7,10
3,1.54,0.23,0.96,7,19
3,2.02,0.26,0.96,7,18
3,2.51,0.29,0.96,7,17
3,2.91,0.3,0.96,7,16
3,3.44,0.32,0.95,7,15
3,3.86,0.33,0.95,7,14
3,4.18,0.34,0.95,7,13
3,4.51,0.34,0.95,7,12
3,4.94,0.35,0.95,7,11
3,5.32,0.36,0.95,7,10
4,1.51,0.23,0.96,7,19
4,2.04,0.26,0.96,7,18
4,2.55,0.29,0.96,7,17
4,2.94,0.3,0.96,7,16
4,3.39,0.32,0.95,7,15
4,3.86,0.33,0.95,7,14
4,4.22,0.34,0.95,7,13
4,4.58,0.34,0.95,7,12
4,4.97,0.35,0.95,7,11
4,5.31,0.36,0.95,7,10
